Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"G12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lc32_II","OK",15,QX200 ddPCR EvaGreen Supermix,300,,,17.1,13,208,16164,,,,,,16372,,,,,,,,,,,,,,,,,,1,1,11281,19137,9392.1,9516,"",,,,16.1,14,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Tb2-II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,13382,,,,,,13382,,,,,,,,,,,,,,,,,,1,1,0,0,13383,13383,"",,,,,,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbe10_II","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,8620,,,,,,8620,,,,,,,,,,,,,,,,,,1,1,0,0,12341,12341,"",,,,,,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Sp3_II","OK",4.5,QX200 ddPCR EvaGreen Supermix,90,,,5.8,3.5,57,14765,,,,,,14822,,,,,,,,,,,,,,,,,,1,1,13505,17381,11873,11894,"",,,,5.2,4,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lx15_I","OK",7.9,QX200 ddPCR EvaGreen Supermix,158,,,9.4,6.4,104,15412,,,,,,15516,,,,,,,,,,,,,,,,,,1,1,13243,18905,11501,11551,"",,,,8.7,7.1,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pt6_I-E","OK",17.4,QX200 ddPCR EvaGreen Supermix,348,,,19.7,15.1,219,14722,,,,,,14941,,,,,,,,,,,,,,,,,,1,1,12584,17752,11034,11133,"",,,,18.5,16.2,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Ra8_II","OK",9.3,QX200 ddPCR EvaGreen Supermix,186,,,11,7.7,121,15204,,,,,,15325,,,,,,,,,,,,,,,,,,1,1,12727,19194,10876,10942,"",,,,10.2,8.5,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Pa14_II-E","OK",24.9,QX200 ddPCR EvaGreen Supermix,498,,,27.8,22.1,288,13437,,,,,,13725,,,,,,,,,,,,,,,,,,1,1,11899,14794,10452,10544,"",,,,26.4,23.5,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Bm22_II","OK",15.9,QX200 ddPCR EvaGreen Supermix,318,,,18.2,13.6,185,13590,,,,,,13775,,,,,,,,,,,,,,,,,,1,1,12207,18429,10275,10384,"",,,,17.1,14.7,,,,,,,,,,,,,
"H09",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rc24_I","OK",4.2,QX200 ddPCR EvaGreen Supermix,84,,,5.5,3.2,52,14420,,,,,,14472,,,,,,,,,,,,,,,,,,1,1,10765,15577,9859.5,9880,"",,,,4.8,3.7,,,,,,,,,,,,,
"H10",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Cbp25_II","OK",8.5,QX200 ddPCR EvaGreen Supermix,170,,,10.3,6.9,99,13647,,,,,,13746,,,,,,,,,,,,,,,,,,1,1,11047,13239,9759.7,9784.8,"",,,,9.4,7.7,,,,,,,,,,,,,
"H11",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Rf30_I","Manual",3.3,QX200 ddPCR EvaGreen Supermix,66,,,4.4,2.3,37,13321,,,,,,13358,,,,,,,,,,,,,,,,,,1,1,11648,17724,9712.6,9734.8,"",,,,3.8,2.8,,,,,,,,,,,,,
"H12",Absolute Quantification,"ABS","Mock_plantes_alpines",Ch1Unknown,"Lc32_II","OK",11.3,QX200 ddPCR EvaGreen Supermix,226,,,13.1,9.4,143,14876,,,,,,15019,,,,,,,,,,,,,,,,,,1,1,11525,19376,9547.4,9641,"",,,,12.2,10.3,,,,,,,,,,,,,
